"Concepto","Principal","Monto Documento","Tipo Vista","Fecha Generación","Folio","Título","Número Documento","Fecha Documento","Tipo Documento","Monto Documento"
"2201001001 Pacientes","11643980-8 LUIS ORLANDO CARTAGENA SANCHEZ","5.082.360","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","11643980-8 LUIS ORLANDO CARTAGENA SANCHEZ","5.082.360","Tipo Flujo","17/02/2021","4993","FA / 22 / 11643980-8 / 2069-492-AG21 / LUIS ORLANDO CARTAGENA SANCHEZ","22","28/01/2021","Factura Afecta Electrónica","787.721"
"2201001001 Pacientes","11643980-8 LUIS ORLANDO CARTAGENA SANCHEZ","5.082.360","Tipo Flujo","09/03/2021","8899","FA / 24 / 11643980 / 2069-1840-AG21 / LUIS ORLANDO CARTAGENA SANCHEZ","24","05/03/2021","Factura Afecta Electrónica","1.285.200"
"2201001001 Pacientes","11643980-8 LUIS ORLANDO CARTAGENA SANCHEZ","5.082.360","Tipo Flujo","19/03/2021","11287","AJUSTE DEVENGO FA / 24 / 11643980 / 2069-1840-AG21 / LUIS ORLANDO CARTAGENA SAN","1","06/03/2021","Nota de Crédito Electrónica","(1.285.200)"
"2201001001 Pacientes","11643980-8 LUIS ORLANDO CARTAGENA SANCHEZ","5.082.360","Tipo Flujo","19/03/2021","11288","FA / 25 / 11643980-8 / 2069-1840-AG21 / LUIS ORLANDO CARTAGENA SANCHEZ","25","06/03/2021","Factura Afecta Electrónica","1.285.200"
"2201001001 Pacientes","11643980-8 LUIS ORLANDO CARTAGENA SANCHEZ","5.082.360","Tipo Flujo","31/03/2021","13782","FA / 27 / 11643980-8 / 2069-2092-AG21 / LUIS ORLANDO CARTAGENA SANCHEZ","27","22/03/2021","Factura Afecta Electrónica","975.800"
"2201001001 Pacientes","11643980-8 LUIS ORLANDO CARTAGENA SANCHEZ","5.082.360","Tipo Flujo","31/03/2021","14457","CP DEVENGA FAC N° 34 LUIS CARTAGENA SANCHEZ ANTICIPO N°6 MARZO 2021","34","31/03/2021","Documento de Tesoreria","1.446.612"
"2201001001 Pacientes","11643980-8 LUIS ORLANDO CARTAGENA SANCHEZ","5.082.360","Tipo Flujo","31/03/2021","14460","FA / 28 / 11643980-8 / 2069-1867-AG21 / LUIS ORLANDO CARTAGENA SANCHEZ","28","24/03/2021","Factura Afecta Electrónica","587.027"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Saldo Inicial","","","Saldo Inicial","","","","0"
"2201001001 Pacientes","76079097-4 PRODUCTOS Y SERVICIOS DE APOYO INDUSTRIAL FIVE PAC","6.702.133","Tipo Flujo","13/01/2021","31","FA / 9701 / 76079097 / 2069-10069-CM20 / PRODUCTOS Y SERVICIOS DE APOYO INDUSTR","9701","11/01/2021","Factura Afecta Electrónica","1.456.946"
